competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_movecount,movecount_solution
SPBIsland2018,8.6,1,B,4,UR1+ DR1+ DL0+ UL5+ U3+ R6+ D5+ L3- ALL3- y2 U5+ R6+ D6+ L3- ALL5+ UR DR DL,10,UR3+ DR1+ DL2- D5- y2 dl5- ur2- U5- L3+ DR6+ /4-
SPBIsland2018,8.6,1,B,5,UR5- DR4- DL1- UL4- U2+ R3- D6+ L2+ ALL1+ y2 U5- R1- D0+ L5+ ALL5+ UR DR UL,8,DL1- U5- L4+ /4- y2 ul2+ R1+ U2- UL5-
SSL1AkersStyckebruk2019,8.6,f,A,1,UR3+ DR2- DL0+ UL4+ U5- R0+ D1+ L2- ALL1- y2 U1- R0+ D1+ L3+ ALL5- UR DR DL UL,9,UR2- DR1+ L2- dl1+ /4+ y2 ur2+ D2+ U1+ DL3-
SSL1AkersStyckebruk2019,8.6,f,A,2,UR2+ DR1+ DL5- UL1- U3- R1+ D3+ L1- ALL4+ y2 U6+ R1+ D2- L3- ALL1+ UR DR,10,UR2- DR2- DL3+ UL4+ ul5+ /3+ y2 ul1+ U6+ DL3+ DR1-
SSL1AkersStyckebruk2019,8.6,f,A,3,UR3- DR0+ DL5- UL2- U2+ R0+ D2+ L4+ ALL0+ y2 U0+ R2- D0+ L2+ ALL5+ UR DL UL,7,UR3+ DL3+ ur2- dr2- y2 R2+ L2- ALL5-
SSL1AkersStyckebruk2019,8.6,f,A,4,UR4+ DR3- DL3- UL4+ U5+ R0+ D2+ L4- ALL2- y2 U0+ R0+ D6+ L0+ ALL4+ UR DL UL,8,UR1- DL3+ D1+ /6- y2 dl2+ dr3- ur3- D6+
SSL1AkersStyckebruk2019,8.6,f,A,5,UR1- DR3+ DL6+ UL6+ U1+ R0+ D3- L3- ALL4+ y2 U1+ R4+ D4+ L1+ ALL1+ UR DL,9,DR3- DL3- UL6- R1+ ur2- y2 ul3+ UL1- DR4- ALL3+
SSSARubik2016,8.6,f,A,1,UR1- DR1- DL5- UL2+ U2- R5+ D5- L4+ ALL5- y2 U1+ R2+ D3- L1+ ALL5- UR DL,9,DL1- U1+ R3- ul1- y2 ul6+ dl2- D3+ R2- UL1-
SSSARubik2016,8.6,f,A,2,UR1+ DR5- DL1- UL3+ U4- R6+ D3+ L3+ ALL4- y2 U0+ R5+ D6+ L0+ ALL1+ UR DL,8,DL5- R2- D4- dr4- dl1+ y2 R1+ DR6+ \5+
SSSARubik2016,8.6,f,A,3,UR2- DR5- DL4+ UL0+ U2+ R4+ D0+ L0+ ALL6+ y2 U2+ R3- D5- L1- ALL4- UL,9,DR3+ DL4- D2+ dr2+ y2 D5+ R3+ L3+ UL2- \2+
