competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,optimal_simtickcount,simtickcount_solution
BatamOpen2018,16.0,d,D,5,UR0+ DR6+ DL1- UL1+ U3- R4+ D5+ L1+ ALL1+ y2 U4- R6+ D2- L1- ALL2+ DL UL,13,"DR(2,-2) U(2,-2) R(0,-2) L(-1,-1) ur(-1,0) ul(-3,-4) /(-1,0)"
CartagenaOpen2025,16.0,c,B,1,UR3+ DR4+ DL3- UL1+ U5- R6+ D3+ L3+ ALL6+ y2 U0+ R2+ D1- L4+ ALL5+,16,"UR(1,0) DR(-2,2) D(-2,2) L(-1,-3) ur(-3,-4) dr(0,-1) ul(0,2) /(1,0)"
CartagenaOpen2025,16.0,c,B,2,UR3+ DR1- DL0+ UL4- U0+ R0+ D0+ L2+ ALL2+ y2 U2- R2- D0+ L1+ ALL2-,14,"UR(-1,-1) DR(0,-1) UL(2,0) R(-1,-1) D(1,-2) dr(-1,1) dl(2,-1) ALL(-4,0)"
CartagenaOpen2025,16.0,c,B,3,UR3- DR6+ DL5+ UL1+ U2+ R5- D0+ L5- ALL4- y2 U3+ R4+ D3+ L0+ ALL6+,15,"UR(2,-5) UL(-1,1) U(-1,1) D(1,1) dl(-1,2) ul(3,2) \(0,2)"
CartagenaOpen2025,16.0,c,B,4,UR2- DR3+ DL4- UL5- U3+ R6+ D5- L5+ ALL2- y2 U3- R2- D5+ L1- ALL1-,21,"DR(5,-5) UL(4,4) U(0,5) D(1,0) ur(-1,-1) ul(2,-2) /(2,-3)"
CartagenaOpen2025,16.0,c,B,5,UR6+ DR6+ DL2- UL2+ U4+ R5- D6+ L2+ ALL2+ y2 U0+ R5+ D5+ L0+ ALL1-,17,"DR(5,3) DL(-2,0) D(-1,0) dl(5,5) /(-1,1) ALL(-3,0)"
ClockMastersBogota2024,16.0,1,B,1,UR5+ DR5+ DL1+ UL3+ U2+ R3+ D5+ L5+ ALL0+ y2 U2- R1+ D2- L2- ALL3-,14,"DL(1,3) UL(2,0) R(-1,3) dr(2,-2) ul(2,-2) /(1,2)"
ClockMastersBogota2024,16.0,1,B,2,UR2- DR1+ DL5+ UL1+ U4+ R4+ D4- L0+ ALL5+ y2 U1- R3+ D5- L2- ALL6+,18,"UR(-1,-1) DL(-1,0) UL(-2,2) R(-2,-4) D(-1,-1) L(-3,-2) dl(-3,-5) /(-1,0)"
ClockMastersBogota2024,16.0,1,B,3,UR4- DR0+ DL2+ UL0+ U4+ R5+ D5- L5- ALL1+ y2 U1- R4- D1+ L1- ALL1-,16,"UR(0,3) DL(3,5) U(0,1) R(-1,-4) ur(0,-1) /(0,2)"
ClockMastersBogota2024,16.0,1,B,4,UR1- DR0+ DL3- UL2- U1+ R2+ D3+ L1- ALL1- y2 U1- R2+ D2- L2+ ALL2+,14,"UL(2,0) U(0,-2) R(-1,2) L(4,3) ur(-1,-1) \(-2,0) ALL(0,1)"
ClockMastersBogota2024,16.0,1,B,5,UR0+ DR1- DL3- UL3- U4+ R2- D1+ L1+ ALL2- y2 U2+ R5+ D0+ L5+ ALL5+,19,"UR(-1,-1) DR(1,-1) DL(2,-1) R(3,3) L(3,5) ul(0,2) ALL(-3,-2)"
ClocktoberClassicNY2025,16.0,2,A,1,UR1- DR4+ DL2- UL0+ U4- R3+ D1- L6+ ALL3+ y2 U3+ R0+ D4- L4+ ALL0+,21,"UR(5,-5) DL(0,1) R(1,0) D(-1,3) L(-4,-4) dr(0,-4) \(3,0)"
ClocktoberClassicNY2025,16.0,2,A,2,UR5- DR0+ DL6+ UL1+ U4+ R3- D6+ L5+ ALL1+ y2 U1- R1+ D1+ L2+ ALL2-,16,"UR(-1,3) DL(0,3) U(1,1) R(-3,2) L(0,2) ul(0,-1) /(0,3)"
