competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,optimal_movecount,movecount_solution
DanishOpen2016,8.67,c,B,3,UR2- DR5- DL1+ UL0+ U0+ R3+ D4+ L1- ALL1+ y2 U1- R4- D6+ L1+ ALL0+ UR,8,UR4+ U2- ul3- y2 D4- R4+ UL1+ DL2- /1-
DanishOpen2016,8.67,c,B,4,UR3- DR2- DL4+ UL2- U5+ R3+ D0+ L1- ALL5+ y2 U1+ R5- D6+ L0+ ALL5+ DR UL,8,DR2+ DL1- D3- dr1- \3- ALL3- y2 DR6+ UR1-
DanishOpen2016,8.67,c,B,5,UR5+ DR1+ DL3+ UL4+ U2- R6+ D0+ L4+ ALL1- y2 U5- R3- D0+ L1+ ALL6+ UR,9,UL1+ U4+ D4- \3+ y2 ur1+ L3- UL2+ UR3+ \2-
DavisWeeknightFebruary2025,8.67,1,A,1,UR2+ DR0+ DL3- UL5- U2- R3+ D1- L1- ALL0+ y2 U4- R2+ D3- L5- ALL3+,9,DL4+ UL5+ R5- ur6- \3- y2 D5+ U1- UL5+ DR2-
DavisWeeknightFebruary2025,8.67,1,A,2,UR5- DR5+ DL4+ UL1- U3- R2+ D6+ L4+ ALL5+ y2 U5+ R5+ D3+ L2- ALL0+,10,DR2- UL3- D1- L4- /1+ \4+ y2 dr3- D5- DL2+ UR5-
DavisWeeknightFebruary2025,8.67,1,A,3,UR2- DR5+ DL1- UL3+ U3+ R3+ D0+ L0+ ALL3- y2 U4- R0+ D3+ L4- ALL4+,7,UR6- DL4- UL2+ y2 ul5+ D3- UL4+ \5-
DavisWeeknightFebruary2025,8.67,1,A,4,UR1- DR4+ DL4+ UL5+ U5+ R5- D3- L5- ALL1- y2 U4- R5- D0+ L0+ ALL4-,8,UR3+ DR1- DL4- dl2+ ALL3- y2 ur3- U1- UR5+
DavisWeeknightFebruary2025,8.67,1,A,5,UR4+ DR0+ DL3- UL4- U2- R2+ D3- L6+ ALL3- y2 U0+ R6+ D2- L2- ALL3-,9,DR6- UL2+ L1- dl4+ ul4+ y2 ul3+ dl2+ R6+ DL2+
DelacuestaXmas2025,8.67,f,B,1,UR2- DR2+ DL5+ UL5+ U3- R2+ D6+ L5+ ALL5- y2 U2+ R3+ D3+ L1- ALL1+,9,DR2- DL1+ L4- dr5+ \3- y2 U3- UL1+ DR3- ALL3-
DelacuestaXmas2025,8.67,f,B,2,UR1- DR3- DL6+ UL0+ U2- R2- D3- L6+ ALL2- y2 U1- R5+ D1+ L2+ ALL3+,9,UR4- U5- R2- y2 ur3+ R4- U1+ L2- DR1- /5+
DelacuestaXmas2025,8.67,f,B,3,UR3- DR5- DL2+ UL3+ U1+ R4+ D1+ L5+ ALL1+ y2 U4- R6+ D2- L4- ALL1+,9,UR1- DR5+ D3- L2+ y2 dl1+ dr4+ L4+ DR2+ UR4+
DelacuestaXmas2025,8.67,f,B,4,UR4+ DR5+ DL1+ UL4+ U4+ R1- D5+ L5- ALL5- y2 U3- R1+ D1+ L3- ALL6+,8,DR1+ R3+ ur1+ ul6- \1+ y2 dl4- UL3+ DR1-
DelacuestaXmas2025,8.67,f,B,5,UR3+ DR3+ DL0+ UL2+ U1+ R3- D3- L1+ ALL3+ y2 U6+ R4+ D4- L2+ ALL2+,8,UR3- UL3- /1- y2 dr6+ R4- UL6+ DL4+ ALL2+
DelhiMonsoonOpen2018,8.67,f,C,1,UR3+ DR4- DL5+ UL3+ U5+ R6+ D6+ L1- ALL1- y2 U3- R3- D4- L3- ALL1+ UR DL UL,8,UR5- DL5+ U6- ul4- y2 D4+ L3+ UR3+ /2+
DelhiMonsoonOpen2018,8.67,f,C,2,UR0+ DR2+ DL1- UL3- U5- R2+ D5- L2- ALL2+ y2 U4- R2- D5+ L5+ ALL2+ DR UL,9,DR4- DL4- UL2- U2- ul2- y2 U3- L5- DR5- UR5-
DelhiMonsoonOpen2018,8.67,f,C,3,UR2+ DR0+ DL3+ UL1- U5- R6+ D2+ L6+ ALL5- y2 U6+ R0+ D3+ L3- ALL0+ UR DR DL,9,UR4+ DL4+ D3+ dr1- dl1- \5- y2 D3- U6+ L3+
DelhiMonsoonOpen2018,8.67,f,C,4,UR2+ DR3+ DL4- UL4+ U3+ R4+ D1- L3- ALL3+ y2 U5+ R4+ D4- L3- ALL4+ DR DL,9,UL3+ R3+ D2+ \2+ ALL3+ y2 ul5- DL3+ DR1+ UR5-
