competitionId,Ao5,roundTypeId,groupId,scrambleNum,scramble,Optimal Movecount,Optimal Solution
LongstoneCityBlindOpen2024,7.62,1,B,3,R' U' F' U F U' F' U' F U2 F,8, F U2 F' R' U2 F' R F'
LongstoneCityBlindOpen2024,7.62,1,B,4,R U R F' R2 F U F U2 R U2,10, F2 U2 F' R F' U2 R2 U' R' U'
LongstoneCityBlindOpen2024,7.62,1,B,5,U' R F' R2 U2 F R2 F' U' R' U',9, R2 U2 R' F' U F2 R2 U F2
NordicChampionship2018,7.62,1,A,1,R U' R2 F R2 U2 R' U2 R' U' F,9, F2 R' F2 R U F2 R2 U' R'
NordicChampionship2018,7.62,1,A,2,R U2 R2 U' R U' R F R2 F' R2,8, R F' U F' R2 F R2 F2
NordicChampionship2018,7.62,1,A,3,R U' F' R2 F U' R2 U2 R2 U' F,6, U' R2 U F' U' R
NordicChampionship2018,7.62,1,A,4,F' U2 F R U R U2 F' R' U' R,9, F' U2 R' U F2 U F2 U2 R'
NordicChampionship2018,7.62,1,A,5,R' U2 F' R2 U2 R' U' R' U2 F U,4, U' F2 R' F
AdelaideSummer2022,7.64,1,D,1,R' U' F U' R U2 R F R U R,6, R2 F' R U2 R' F'
AdelaideSummer2022,7.64,1,D,2,R' F' U' R2 U' R2 U2 F U F2 U2,10, F' R F U' R2 F2 R F' U' F
AdelaideSummer2022,7.64,1,D,3,U2 R' U' R F R2 U' F' U' R2 U',7, R' U' F2 U R2 F R2
AdelaideSummer2022,7.64,1,D,4,U R' U2 R2 F U2 R2 U2 R2 F U',6, F' R' U R2 U' F
AdelaideSummer2022,7.64,1,D,5,U' R' F R U2 R' F U' R F R,9, U2 F R2 F2 R' F' U2 F2 R
SEKAlboranAlmerimarOpen2024,7.65,2,B,1,R' F' U2 R2 U2 R2 U' F U2 R' F,8, F U' R2 F2 U' F R' F'
SEKAlboranAlmerimarOpen2024,7.65,2,B,2,R' F' U' R' U2 F U2 R2 U2 F' U2,6, R U2 F2 U' F R
SEKAlboranAlmerimarOpen2024,7.65,2,B,3,R' F R2 U2 R2 U R' U R U' R,7, U' F U2 R' F2 R F2
SEKAlboranAlmerimarOpen2024,7.65,2,B,4,U2 R' U R' U' R U' R U2 F' U2,9, F2 U R F U' R F' U' R'
SEKAlboranAlmerimarOpen2024,7.65,2,B,5,U2 F U' R2 U' R' U' R' F U' R,9, F' U F R' U' R F2 R' F2
OldeTownParker2020,7.66,1,B,1,U R' F' U2 R2 F' R2 F U2 R U,6, U' F2 R U R' F
OldeTownParker2020,7.66,1,B,2,U2 R' U' F R' F R U' R' F2 U',9, R' F' U' F2 U' F U2 F' U
OldeTownParker2020,7.66,1,B,3,U' R' U' F' R2 U' R' U' R' U2 F2,5, F R' U' R' F2
OldeTownParker2020,7.66,1,B,4,U' R' U2 F' U' R2 U2 R2 U' F U',9, F U2 F2 U' R F' R U' F
OldeTownParker2020,7.66,1,B,5,U R U' R' U2 F U R U R' F,10, F2 R U' F2 R' F' R2 U2 F' R'
SwedishDecathlonChallenge2015,7.68,1,B,1,R' U' F' U' F' R U' R' U2 F' R2,8, R F' U2 F' R U R' F'
SwedishDecathlonChallenge2015,7.68,1,B,2,R' U2 F' R F U2 F' R U' R U',8, R U2 R2 F2 R U2 R2 F
SwedishDecathlonChallenge2015,7.68,1,B,3,U' R U' R F' U' R' U R' F' R2,9, R' F U2 F' R F U' R' U
SwedishDecathlonChallenge2015,7.68,1,B,4,U' R2 F' U2 R U R' U' F U R,9, F R2 F' R' F2 U' R2 U R2
SwedishDecathlonChallenge2015,7.68,1,B,5,R U' F' U' R2 U' R U2 R2 U' R,7, F' R' F2 R' F' U' R
VelbertEasterOpen2014,7.68,2,A,1,F R F' R U R' F R U2 R' F,6, R' F' R F' R' F
VelbertEasterOpen2014,7.68,2,A,2,U' F U R' F R U' R U' R2 F,9, F2 U2 F R' U F' R' F' R2
VelbertEasterOpen2014,7.68,2,A,3,R U R F' U' R' F R2 U2 R2 U',7, U F2 U2 R2 U R F
VelbertEasterOpen2014,7.68,2,A,4,F' U' R U' R U' R2 F R U' R',7, F2 R' U F' R2 U2 F'
VelbertEasterOpen2014,7.68,2,A,5,R' F' U' R U R' U' F2 R U R,8, F U F2 U' F2 R U F'
BruggeBeginnersOpen2024,7.7,f,B,1,R' U2 F R U' F R U2 R' F2 R2,9, R F2 R F U' R U' F2 R
BruggeBeginnersOpen2024,7.7,f,B,2,F' R' U2 R' U R' U' F U' R U,8, R' F' U F' R2 U2 R F
BruggeBeginnersOpen2024,7.7,f,B,3,F U2 R2 U' R' U R' F U2 F U',6, F R' U F' R2 U2
BruggeBeginnersOpen2024,7.7,f,B,4,U2 R U R F' R U2 R' U R' U2,9, F2 R F' R2 U F U F2 R'
BruggeBeginnersOpen2024,7.7,f,B,5,U2 R U2 R2 U2 R U2 R F' R2 U',8, U' R2 F' R U2 R' U2 R'
DixonSummer2015,7.71,1,D,1,R U2 F R U2 R' U F' U2 R U,8, F' U F2 U' R U2 F' U
DixonSummer2015,7.71,1,D,2,R' F' U' R U F2 U2 F U2 R U',9, R F2 U' R U' R U' F U'
DixonSummer2015,7.71,1,D,3,U' R U' R2 U R U' R U R' U',6, U2 F2 U' R' U F'
DixonSummer2015,7.71,1,D,4,R' F2 R U' R U2 R' F' U' R U',9, U R2 F2 R F U2 R' F2 R
DixonSummer2015,7.71,1,D,5,U2 R' F' U2 R2 U2 R2 U2 F R' U',7, U R F' R2 F R U2
KorumCubeChallenge2023,7.72,1,A,1,R' F' R2 F' R2 U' F U R U2 R,9, F R' F' U2 R' U2 R' U2 R
KorumCubeChallenge2023,7.72,1,A,2,F' U' R U R' F R2 F' R2 F R,7, R' U2 R F2 R' U2 R2
KorumCubeChallenge2023,7.72,1,A,3,U2 R' U2 R U2 R' U F U' R2 F,8, R F' R2 F R U F U'
KorumCubeChallenge2023,7.72,1,A,4,R U2 R' U' R' U2 R U R2 U' R,7, R' U R' U R2 U R'
KorumCubeChallenge2023,7.72,1,A,5,U R' U F2 R U2 R' F R U' R',10, F2 R2 F' R' U R' U R2 F' R'
AlbaceteAgoraOpen2024,7.74,2,B,1,U2 R' F R2 U' R' F U2 R' U R',8, F' U F U R2 F2 R' F
AlbaceteAgoraOpen2024,7.74,2,B,2,U2 R U2 F' R' U R' F R U2 R,7, F U' F R' F' R' U2
