competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,Optimal Movecount,Optimal Solution
ConquisteoCubo2019,1.67,f,B,3,U' R F' U2 R2 F U2 R2 F' R2 U',9.0, U F' U F2 R' U R U' F'
ConquisteoCubo2019,1.67,f,B,4,U R' F R F R U2 R U2 R' F,9.0, F2 U2 F' U' F2 R2 U' F' R'
ConquisteoCubo2019,1.67,f,B,5,U R' U2 F U2 F U' F' R2 U' R2,7.0, F' U F' R2 U2 F' U
CopaInframundoHN2018,1.67,f,C,1,U R F' R2 U' R U' R2 F U2 R,9.0, U F' R' U' R2 F U' R U'
CopaInframundoHN2018,1.67,f,C,2,R' F U2 F' R U2 R U2 R' U2 R',9.0, U R' F' R2 F' R U' F U2
CopaInframundoHN2018,1.67,f,C,3,F R U' R' F R U2 R' U2 R2 U2,9.0, F2 R2 U2 F' U R U' F R2
CopaInframundoHN2018,1.67,f,C,4,U' F R U' F R U' R' F U2 F,9.0, U F2 R F' U F2 R' U' R2
CopaInframundoHN2018,1.67,f,C,5,R F' R2 U2 F U R2 U' R2 F R,10.0, F R2 F' U2 F' U' F' R2 U F
CountryRoadsHuntington2023,1.67,1,A,1,F' R' U R' U' F U2 R2 U' R U',9.0, R2 U' F' R2 U F R' U F'
CountryRoadsHuntington2023,1.67,1,A,2,U2 R U2 F' R2 U' R F U' R U',9.0, U' R2 F2 R' F' R2 F' U F
CountryRoadsHuntington2023,1.67,1,A,3,R F' R2 F2 U' R U' R' F R2 U2,9.0, F2 R2 F R' U' F R F R
CountryRoadsHuntington2023,1.67,1,A,4,U2 R' U F2 R2 U' R2 U R2 U' R2,9.0, U2 R U F2 U F2 U R' F2
CountryRoadsHuntington2023,1.67,1,A,5,U F U2 F R U' R U2 R2 U F,9.0, F' U R2 F' R' F R F' U'
CrazyCubesOpen2017,1.67,d,B,1,R U' F' U2 R2 F' U2 F' U' R U2,9.0, F2 R2 F' R2 F U2 F2 R2 F'
CrazyCubesOpen2017,1.67,d,B,2,U' R' F' U2 R F R2 U' R2 U2 R,7.0, R U2 F R2 F' R F'
CrazyCubesOpen2017,1.67,d,B,3,U' R U2 F' U' R2 U' F R2 U' R2,10.0, U R' F' U R U' F2 R F U'
CrazyCubesOpen2017,1.67,d,B,4,R F U' F U' F R2 U' F R U',8.0, R2 F U' F2 R U F U
CrazyCubesOpen2017,1.67,d,B,5,U' R2 U2 R2 F U' R U2 R' F R2,10.0, F2 U F2 U F' U2 R F R' U2
CrevalcorealCubo2025,1.67,2,A,1,U2 F2 R U' R U2 R' U R' U' F,9.0, U F' R2 U F2 U R F2 U'
CrevalcorealCubo2025,1.67,2,A,2,U2 F2 U' R U R U' R' U' R' U2,4.0, U' F2 U2 R'
CrevalcorealCubo2025,1.67,2,A,3,U R U' R' F R U R U2 R2 U2,7.0, F' U2 R2 U F' R2 U'
CrevalcorealCubo2025,1.67,2,A,4,R' U2 F' R2 U' R' U2 R F' R F',9.0, F R' U2 R' U2 F' U F2 U'
CrevalcorealCubo2025,1.67,2,A,5,R U' R2 F U R' F R' F' U F,9.0, U F' R U R2 F2 U2 R' F
Cube4funWislaMasters2023,1.67,1,A,1,R U' R' U R' U F U F U2 R',10.0, F U F U' F2 R F' U2 F R
Cube4funWislaMasters2023,1.67,1,A,2,U2 R' U' R2 U' R2 U' R F2 R2 U2,9.0, R2 F2 R U' R2 U' R2 U' R'
Cube4funWislaMasters2023,1.67,1,A,3,U2 R F' R' U' R2 U' R2 F U2 R,9.0, F R' U' R F2 R2 F R' U
Cube4funWislaMasters2023,1.67,1,A,4,R F' U R' F U2 R U F U' R,10.0, F U' F R2 F' R F' R2 F2 U2
Cube4funWislaMasters2023,1.67,1,A,5,R' U R2 U2 R2 F U' R2 U' F R,9.0, F' R F2 R F' U2 R F R
CubingPortalSandnes2023,1.67,1,C,1,U R U' R2 F R2 U' R' U' R F',9.0, R U' F2 R F' U2 R2 U F2
CubingPortalSandnes2023,1.67,1,C,2,R U' R' F' R2 U' F R' U' F R2,7.0, R' F' R U F' R2 F2
CubingPortalSandnes2023,1.67,1,C,3,U R' U' R U2 R' U' R F2 U' R,9.0, U F' R' F' R' U R2 F' U2
CubingPortalSandnes2023,1.67,1,C,4,R U2 F U' R U2 R' U' R2 U' R,8.0, F R' F' U R2 F' R' F2
CubingPortalSandnes2023,1.67,1,C,5,R2 U2 R2 U2 F U' F U2 F' R2 F',9.0, F R2 F U2 F' U F' R2 U2
DarkhanWinter2022,1.67,1,D,1,R U2 F' U' R' U R' U R' U2 R,9.0, U F2 U F U R' U R U2
DarkhanWinter2022,1.67,1,D,2,R' U2 F R U F R U R' F U,8.0, R U F U' F' U F2 R2
DarkhanWinter2022,1.67,1,D,3,R' U2 R2 U' R2 U' F U' F' U2 R,8.0, U' F U2 F2 R2 F U F
DarkhanWinter2022,1.67,1,D,4,U' R' F U2 F U' F R U' R' U,7.0, F2 U' F R F2 R' F2
DarkhanWinter2022,1.67,1,D,5,U2 R U' R U2 R2 F U' R2 F' R',9.0, U' R2 U F' R2 U R2 U F2
DiTellaInspira2024,1.67,1,A,1,U' R' U R2 U2 R' U' R' F2 U' F',8.0, F R U' R U R2 U F2
DiTellaInspira2024,1.67,1,A,2,R' U R' F U2 R U' R' F' R U',10.0, F' U2 R' U F U' F2 U' R' F
