competition_id,mean,round_type_id,group_id,scramble_num,scramble,Optimal Movecount,Optimal Solution
UzbekistanNationals2024,1.6,1,A,5,U' R F' U' F R U R' F2 R U,10.0, F R2 U R' F' U2 F' R' U' F'
Yopen2022,1.6,f,A,1,F' U' F' U2 F' R2 U2 R2 U' R' U2,9.0, U2 R U F' U2 R2 F U F
Yopen2022,1.6,f,A,2,U' R' U' F R' F U2 R U2 R' F',9.0, F R F R' U F2 U2 R F
Yopen2022,1.6,f,A,3,U2 R U' F' U' R' U R U' F R,9.0, F' U R' U2 F' R F U' R
Yopen2022,1.6,f,A,4,U R' F R2 U2 F' R' U R' U F,9.0, U R2 U' R2 F R' F2 R2 U
Yopen2022,1.6,f,A,5,U2 R U2 R' U R' U R U' R U',9.0, U2 R' U F2 R' F' U F' U
YuraSpeedcubers2017,1.6,1,A,1,U' R' F2 U2 R U' R U2 R' U R',8.0, F2 R F' U2 F R' U F'
YuraSpeedcubers2017,1.6,1,A,2,U2 R' U' R2 F' U' R2 F R' F U',8.0, U' F2 R2 F R' U F R'
YuraSpeedcubers2017,1.6,1,A,3,U R' F R U2 R' F U' R U R2,10.0, F U' F U' F U F' U F2 R'
YuraSpeedcubers2017,1.6,1,A,4,F R U' R U' R2 U' F' R2 F' R',9.0, F2 R F2 U' F' R2 F' U' R2
YuraSpeedcubers2017,1.6,1,A,5,U2 R2 U' R U2 R U' R' U R U',9.0, U2 F R F2 U' F2 R F' U
