competition_id,mean,round_type_id,group_id,scramble_num,scramble,Optimal Movecount,Optimal Solution
CubingATMOSphere2025,2.6,2,A,5,R' F2 U' R U R' U' F U R2 F',9.0, F R' U2 R' F2 U F2 U2 R
CubingTainan2018,2.6,f,A,1,U' R' U' F' R2 U' F' R' U2 R' F',9.0, F R F' U2 R' U' F' U F2
CubingTainan2018,2.6,f,A,2,R U' F' U2 R2 F U' F U2 R U,9.0, R2 U2 F' U' R U2 F' U F'
CubingTainan2018,2.6,f,A,3,R' U2 F' U R U' R2 U R U R,8.0, U2 R' U' R2 U' F U2 R
CubingTainan2018,2.6,f,A,4,U R' U' R2 F' R' U' R U R' U',7.0, F2 R' F2 U2 R' F' R
CubingTainan2018,2.6,f,A,5,U R' U F R2 U2 F' R' U R' U',8.0, R' F R2 F' U2 F U' R2
CubingZANationalChampionship2023,2.6,1,C,1,R' U2 F U2 R F R U2 R' U' R,8.0, R2 U' R2 F R' F' U' F'
CubingZANationalChampionship2023,2.6,1,C,2,R2 F U' F U' R' F R2 U' F' R',10.0, F U' R U2 R U2 F' R2 F' U
CubingZANationalChampionship2023,2.6,1,C,3,U' R U2 F' R' U2 R' U F2 U' R2,8.0, F U2 R2 U' R F2 U R
CubingZANationalChampionship2023,2.6,1,C,4,R F' R' U' R' U' R U2 R' F U,9.0, F R' U' F2 R' U2 R' U2 R'
CubingZANationalChampionship2023,2.6,1,C,5,R' U' F U F U2 F R' U' R U',9.0, F R2 F' R2 F R' F2 R U'
DIAEHCubeforChangeDubaiB2025,2.6,1,A,1,R' F2 R U' R U' R2 U' F2 R2 U',9.0, U2 F' U' R2 F U F' R F'
DIAEHCubeforChangeDubaiB2025,2.6,1,A,2,F U2 R U R U2 R' U2 R' U2 R,9.0, F' R2 U2 R' U' R F' U F
DIAEHCubeforChangeDubaiB2025,2.6,1,A,3,R' F U R2 F' U' R2 U' R2 U' R',9.0, F R' F R2 U R' U' F U'
DIAEHCubeforChangeDubaiB2025,2.6,1,A,4,R' F U' F R U R U' F' R2 U2,8.0, U R U R2 F R2 F2 R
DIAEHCubeforChangeDubaiB2025,2.6,1,A,5,R F' U' R2 U2 F' R2 F' U R U',9.0, U2 R' U R' U2 R' F2 R' F'
DallasWinterVariation2017,2.6,1,A,1,R' F U' F' U' F R' U R2 U2 R2,9.0, U2 R' F R' F U F' U2 F2
DallasWinterVariation2017,2.6,1,A,2,U R' U2 F R2 U2 F' R' U R' F,9.0, U2 F R F' R U' F' U R'
DallasWinterVariation2017,2.6,1,A,3,U2 R U2 R2 F R' F' R U2 R' U2,10.0, F2 U F U R U2 F' R' F2 R2
DallasWinterVariation2017,2.6,1,A,4,U R' U2 F U' F' U' R U' R' F2,9.0, F' R2 F U2 F' R' F2 R F2
DallasWinterVariation2017,2.6,1,A,5,U2 R' F2 U F' U2 R2 U2 R' U' R',9.0, F R2 F' U2 R F U' F2 R'
DunasOpen2021,2.6,c,A,1,R' F' U F U2 R U' R' U' R U,8.0, F' U F U R U' R' U
DunasOpen2021,2.6,c,A,2,R U R' F U' R U' R' U2 F' U',10.0, F R' F2 U2 F U F R2 F2 U'
DunasOpen2021,2.6,c,A,3,R U2 F' U2 F' R2 F U2 R2 U2 R',8.0, U F U' F R U2 F2 R2
DunasOpen2021,2.6,c,A,4,R2 F R2 U2 R' U' R' F U' R2 U,9.0, F' R2 F U2 R' U' R2 F' U2
DunasOpen2021,2.6,c,A,5,R' U R' U' R2 U' R2 F U' F' R2,10.0, F2 R2 U' F U' R U' R' F U'
DvinaOpen2014,2.6,f,A,1,U R F' U' F' U2 R2 U' F' R2 U2,8.0, F R F' U2 F U' F2 U2
DvinaOpen2014,2.6,f,A,2,R U2 F R U2 R F' U' R2 U2 F',9.0, U' F' U R' U2 F2 U F' U'
DvinaOpen2014,2.6,f,A,3,R F R U' R' U' F2 U2 F R2 F',9.0, F R2 U' R' U' F R' F U
DvinaOpen2014,2.6,f,A,4,U' R' F R' F' R2 F' U2 R' U' R',9.0, F2 U2 F U R' F R' U' F
DvinaOpen2014,2.6,f,A,5,R' U2 F U2 R U2 R U' R' F' R2,9.0, F U F' U F2 R F2 R2 U2
FlatasenOpen2025,2.6,f,A,1,R' U2 R U' R' F' R U' R U2 F',8.0, F2 U F U R2 F2 U' R
FlatasenOpen2025,2.6,f,A,2,U' R' F U' R U' F U2 F U' R',8.0, F' R' U2 F R2 F R2 F2
FlatasenOpen2025,2.6,f,A,3,U' R U' R' U R' F' U2 R F U',10.0, F' U2 F' R' U R2 U' R F2 R2
FlatasenOpen2025,2.6,f,A,4,R' F U' R2 U' R' U2 R' U' R2 F',10.0, F U' R F' U2 R' F U' F' R2
FlatasenOpen2025,2.6,f,A,5,R' F U R2 U' R' U R' U F R',9.0, R U2 F' R' U R' U R2 U2
ForaarscubingiHvidovre2023,2.6,1,C,1,R' F2 U F R2 U' R2 F' R U' R',10.0, F' R' U R' U' R F2 U' F2 R
ForaarscubingiHvidovre2023,2.6,1,C,2,R' U' R U' R F U' F' U2 F R2,9.0, F2 R2 U2 R' F2 R U2 R2 U'
ForaarscubingiHvidovre2023,2.6,1,C,3,U R' U2 F2 U' F' U2 R U R F,10.0, F2 U2 R' U F' U2 R U' F' U2
ForaarscubingiHvidovre2023,2.6,1,C,4,R' U R2 U' R2 F' U' F U' F' R,8.0, R2 F' R F U' R U2 R2
ForaarscubingiHvidovre2023,2.6,1,C,5,U' R' F R2 F R2 U' R' U2 R F',7.0, R2 F' R F U F U'
GoldenRubiksCube2017,2.6,1,D,1,U2 R' U' R U' R2 F' U' R2 U2 R',9.0, F R' F' R2 F' R' U F2 U
GoldenRubiksCube2017,2.6,1,D,2,R U2 R2 U' F' U' R2 U2 R' U2 R,9.0, F2 R F R' F R' U2 R2 F
GoldenRubiksCube2017,2.6,1,D,3,R' U R' U2 R2 U' F' U2 R' U R',10.0, F2 R' F2 R' F2 R U2 R F' R'
GoldenRubiksCube2017,2.6,1,D,4,U R' F' R2 U' R' U R' F U' F,8.0, R' U' F2 U' R' F U2 F
GoldenRubiksCube2017,2.6,1,D,5,U' R' U' R' U2 F R U R' U2 R,8.0, R F' U2 R2 U F' U R2
HalaFebruaryKuwait2024,2.6,f,A,1,U2 R' U' F2 U R U' R2 F R U2,10.0, F2 U R U F2 R' F' R F' U2
HalaFebruaryKuwait2024,2.6,f,A,2,R2 U' F U' R2 U' F U' R U2 R',9.0, U' R2 U' R U2 F2 R F U'
HalaFebruaryKuwait2024,2.6,f,A,3,R' U' F U' F R U2 R U' F' R,7.0, F R2 F R' F R U
HalaFebruaryKuwait2024,2.6,f,A,4,R U2 R' U' R' U2 F' R2 U' R2 F2,7.0, F2 R U' R' F' U R'
HalaFebruaryKuwait2024,2.6,f,A,5,R U' R' U2 F R' U2 F R U2 R,10.0, F' R F' U2 F' U' F' R F2 U
HighGateIrbid2023,2.6,1,D,1,U F U' R2 U' R2 U' R U' R' F',8.0, R F U' F2 R U' F U'
HighGateIrbid2023,2.6,1,D,2,R' F' R U2 R' U2 R F U2 F' U2,10.0, F' R U2 F' U' R' F2 U R F2
HighGateIrbid2023,2.6,1,D,3,F' R2 F R U R' F U F' R U',10.0, U R' F U' F R2 F2 R F' U'
HighGateIrbid2023,2.6,1,D,4,R' F' U' F R U' F R2 U2 R' U2,9.0, F' R' F U' R' F2 U2 R F2
HighGateIrbid2023,2.6,1,D,5,R U' R' U2 R' U R U' R2 F' R2,8.0, U2 R2 F' R' U2 R U' R2
HongKongCubeDay2025,2.6,1,G,1,R U' R2 F U2 R U2 R' U2 F' U,6.0, U R2 U F' U' F
HongKongCubeDay2025,2.6,1,G,2,R U' F' U2 F' R' U R2 U2 F R,10.0, F' U' R' F U' R2 U' F2 R U
HongKongCubeDay2025,2.6,1,G,3,R' F U' R2 U2 R' U2 R' F R2 U2,9.0, F' U R2 F2 U2 F' R U F'
HongKongCubeDay2025,2.6,1,G,4,U' R' U R' U2 F U' F U' R2 U',9.0, R2 F U' R2 F R F2 U F2
HongKongCubeDay2025,2.6,1,G,5,U2 R U' R2 U' F' R2 U' F' R2 F,9.0, F' U2 R F R2 F2 R' U' F2
HungarianAllRounder4Macskafo2025,2.6,f,A,1,F R U' R U' F' R' U R' U' R,7.0, R F R' U' R U2 R2
HungarianAllRounder4Macskafo2025,2.6,f,A,2,U' F' R U2 R U' F' R2 U' R2 U',9.0, F' U' F U2 R2 F2 U R F'
HungarianAllRounder4Macskafo2025,2.6,f,A,3,R' U2 F R U F R2 U' R' U2 R',8.0, R F' R' U F U F' R
HungarianAllRounder4Macskafo2025,2.6,f,A,4,U R' U2 F U2 F R U' R U2 R',10.0, F' U2 F' U2 R' F' R2 F U' R2
HungarianAllRounder4Macskafo2025,2.6,f,A,5,U R' F' R U' R F U2 R' F U',9.0, F U2 R F' R2 U2 F R U
HvidovreLigaVFinale2025,2.6,f,A,1,R U2 R2 F U' R2 F U' F2 R U',9.0, F' R F2 R U R U F R2
HvidovreLigaVFinale2025,2.6,f,A,2,R' F R2 U' R' U R U' R2 U2 R2,8.0, U2 R' U R' U' R F' R
HvidovreLigaVFinale2025,2.6,f,A,3,R U' R' U' F U R' F R' U' R,8.0, R' F2 R' U2 R U' F R2
HvidovreLigaVFinale2025,2.6,f,A,4,R U' F' U2 R' U R' U' R2 F' R',8.0, F2 R' U' R2 U F2 U' F'
HvidovreLigaVFinale2025,2.6,f,A,5,U R F' U' R' U' F U2 F R2 F',10.0, F R2 F' U F' R F R' U R
IGARubik2016,2.6,2,C,1,R U2 R' U R' U' R F U2 F U',10.0, F2 R U2 F' R' F U2 R' U' F'
IGARubik2016,2.6,2,C,2,U R' U' F' R U R U' R' U' R',5.0, F U R F U'
IGARubik2016,2.6,2,C,3,U2 R' F U' R' F R' U' R U2 R',9.0, U R' F2 R F' U2 R F' U'
IGARubik2016,2.6,2,C,4,R' F' U' R U2 R' F2 R2 U' R2 F,8.0, F2 U F' R2 F R' F2 U'
IGARubik2016,2.6,2,C,5,R' F R2 U' R U2 R2 U' F U' F',10.0, F' U' F' U F' R U2 F' U' F2
IISERPuneCubeOpen2019,2.6,1,B,1,U2 F' R2 F R' F R U2 R U' R',8.0, F2 R' U R2 U' R' F2 R2
IISERPuneCubeOpen2019,2.6,1,B,2,R' U2 R U2 R' U2 R U2 R' U' R2,10.0, F U2 F U R2 U2 R' U F2 R'
IISERPuneCubeOpen2019,2.6,1,B,3,U R U2 R U' F R U' R' F U',10.0, F R F' U F2 R' F2 R' F' R'
IISERPuneCubeOpen2019,2.6,1,B,4,U F U' R' F U2 R2 U' R2 U' R,9.0, U2 F2 R2 U' F' U2 R F U2
IISERPuneCubeOpen2019,2.6,1,B,5,R' F R2 F U2 F R' F R U' R',9.0, F' U2 F' R U' F' U2 R F'
IrvineFall2015,2.6,1,E,1,U2 R U' R' U' F' R' U R' U2 F,5.0, F2 U2 R U2 R2
IrvineFall2015,2.6,1,E,2,U' R' F R U R' F U2 R U2 R,9.0, U R F' U2 F U2 F U R'
IrvineFall2015,2.6,1,E,3,R' U2 F U R' U' F U2 R U' R,9.0, F R U2 F' R' U2 R U' R
IrvineFall2015,2.6,1,E,4,R U2 R2 U' R U2 F U F R U,9.0, F U' R' F R U' R2 F' R'
IrvineFall2015,2.6,1,E,5,U R' U' R U' R U R' F' R2 U',7.0, R2 U2 R F2 U F2 U2
JakartaSpeedcubing2022,2.6,1,C,1,R2 U R' U' F R2 U2 R2 U R U2,9.0, F2 U' F2 U R2 F' R' F2 R2
JakartaSpeedcubing2022,2.6,1,C,2,U R U' F' U2 R2 F2 U' F R U,8.0, U R F' R2 F' R' F U2
JakartaSpeedcubing2022,2.6,1,C,3,U R U' R' U2 R U' F' R U2 R',10.0, U F' U R F2 R F' U' R F
JakartaSpeedcubing2022,2.6,1,C,4,R' F' R U' R' U' R2 F' U' R2 F,8.0, F2 U2 R' F' U R2 F R
JakartaSpeedcubing2022,2.6,1,C,5,R U2 R' U2 R' U2 R U2 F U' R,10.0, U F' U' R U F2 R2 U2 R' U
JohannesburgOpen2016,2.6,1,B,1,R' U' F R2 U2 F' R' F' U' R U,10.0, F2 U R F2 R' F U' R U2 R'
JohannesburgOpen2016,2.6,1,B,2,U' R' F' R U2 R' F' R U' R' F',9.0, F U' F2 R' U' F2 U' R' F2
JohannesburgOpen2016,2.6,1,B,3,U2 F' R' U' R' U2 F R U R' F,10.0, F U F' R2 F R2 U' F' U R2
JohannesburgOpen2016,2.6,1,B,4,U R' U2 F U F' U2 R2 F' R' U',10.0, F R2 F' R2 U' R' U' F2 U2 R
JohannesburgOpen2016,2.6,1,B,5,U2 R2 F R U' R' F R2 U2 R2 U',9.0, R2 U' F U' F' U2 R2 F R'
KarawangSpeedcubing2024,2.6,1,B,1,U R' U' R2 F R2 U' R' U' R U',9.0, F2 R2 U' F R U2 R U2 R
KarawangSpeedcubing2024,2.6,1,B,2,R' U' R U' R' U2 F' U F R U',8.0, U2 F' U F R' F R2 F'
KarawangSpeedcubing2024,2.6,1,B,3,R U R' F R' U' R2 U' F' U2 R2,10.0, F U2 F' R U2 F' U2 F U' F2
